product_id,plan_id,plan_name,billing_frequency,price
PROD1,PLAN101,Core Platform - Starter,Monthly,49
PROD1,PLAN102,Core Platform - Starter,Annual,490
PROD1,PLAN103,Core Platform - Professional,Monthly,149
PROD1,PLAN104,Core Platform - Professional,Annual,1490
PROD1,PLAN105,Core Platform - Business,Monthly,399
PROD1,PLAN106,Core Platform - Business,Annual,3990
PROD1,PLAN107,Core Platform - Enterprise,Monthly,999
PROD1,PLAN108,Core Platform - Enterprise,Annual,9990
PROD2,PLAN109,Analytics Add-on - Starter,Monthly,49
PROD2,PLAN110,Analytics Add-on - Starter,Annual,490
PROD2,PLAN111,Analytics Add-on - Professional,Monthly,149
PROD2,PLAN112,Analytics Add-on - Professional,Annual,1490
PROD2,PLAN113,Analytics Add-on - Business,Monthly,399
PROD2,PLAN114,Analytics Add-on - Business,Annual,3990
PROD2,PLAN115,Analytics Add-on - Enterprise,Monthly,999
PROD2,PLAN116,Analytics Add-on - Enterprise,Annual,9990
PROD3,PLAN117,Automation Suite - Starter,Monthly,49
PROD3,PLAN118,Automation Suite - Starter,Annual,490
PROD3,PLAN119,Automation Suite - Professional,Monthly,149
PROD3,PLAN120,Automation Suite - Professional,Annual,1490
PROD3,PLAN121,Automation Suite - Business,Monthly,399
PROD3,PLAN122,Automation Suite - Business,Annual,3990
PROD3,PLAN123,Automation Suite - Enterprise,Monthly,999
PROD3,PLAN124,Automation Suite - Enterprise,Annual,9990
