revenue_id,customer_id,subscription_id,revenue_date,gross_revenue,discount,refund,net_revenue,revenue_type
REV100001,CUST1053,SUB10001,2021-02-02,332.5,0.0,0.0,332.5,New
REV100002,CUST1053,SUB10001,2021-03-02,332.5,33.25,0.0,299.25,Recurring
REV100003,CUST1053,SUB10001,2021-04-02,332.5,0.0,0.0,332.5,Recurring
REV100004,CUST1053,SUB10001,2021-05-02,332.5,16.62,0.0,315.88,Recurring
REV100005,CUST1053,SUB10001,2021-06-02,332.5,33.25,0.0,299.25,Recurring
REV100006,CUST1053,SUB10001,2021-07-02,332.5,33.25,0.0,299.25,Recurring
REV100007,CUST1053,SUB10001,2021-08-02,332.5,0.0,0.0,332.5,Recurring
REV100008,CUST1053,SUB10001,2021-09-02,332.5,0.0,0.0,332.5,Recurring
REV100009,CUST1053,SUB10001,2021-10-02,332.5,0.0,0.0,332.5,Recurring
REV100010,CUST1053,SUB10001,2021-11-02,332.5,33.25,0.0,299.25,Recurring
REV100011,CUST1053,SUB10001,2021-12-02,332.5,0.0,0.0,332.5,Recurring
REV100012,CUST1053,SUB10001,2022-01-02,332.5,33.25,0.0,299.25,Recurring
REV100013,CUST1053,SUB10001,2022-02-02,332.5,0.0,0.0,332.5,Recurring
REV100014,CUST1053,SUB10001,2022-03-02,332.5,16.62,0.0,315.88,Recurring
REV100015,CUST1053,SUB10001,2022-04-02,332.5,0.0,0.0,332.5,Recurring
REV100016,CUST1053,SUB10001,2022-05-02,332.5,16.62,0.0,315.88,Recurring
REV100017,CUST1053,SUB10001,2022-06-02,332.5,0.0,0.0,332.5,Recurring
REV100018,CUST1053,SUB10001,2022-07-02,332.5,0.0,0.0,332.5,Recurring
REV100019,CUST1053,SUB10001,2022-08-02,332.5,16.62,0.0,315.88,Recurring
REV100020,CUST1053,SUB10001,2022-09-02,332.5,0.0,0.0,332.5,Recurring
REV100021,CUST1053,SUB10001,2022-10-02,332.5,0.0,0.0,332.5,Recurring
REV100022,CUST1053,SUB10001,2022-11-02,332.5,0.0,0.0,332.5,Recurring
REV100023,CUST1053,SUB10001,2022-12-02,332.5,33.25,0.0,299.25,Recurring
REV100024,CUST1053,SUB10001,2023-01-02,332.5,0.0,0.0,332.5,Recurring
REV100025,CUST1053,SUB10001,2023-02-02,332.5,0.0,0.0,332.5,Recurring
REV100026,CUST1053,SUB10001,2023-03-02,332.5,16.62,0.0,315.88,Recurring
REV100027,CUST1053,SUB10001,2023-04-02,332.5,33.25,0.0,299.25,Recurring
REV100028,CUST1053,SUB10001,2023-05-02,332.5,33.25,0.0,299.25,Recurring
REV100029,CUST1053,SUB10001,2023-06-02,332.5,16.62,0.0,315.88,Recurring
REV100030,CUST1053,SUB10001,2023-07-02,332.5,33.25,0.0,299.25,Recurring
REV100031,CUST1053,SUB10001,2023-08-02,332.5,0.0,0.0,332.5,Recurring
REV100032,CUST1053,SUB10001,2023-09-02,332.5,0.0,0.0,332.5,Recurring
REV100033,CUST1053,SUB10001,2023-10-02,332.5,0.0,0.0,332.5,Recurring
REV100034,CUST1053,SUB10001,2023-11-02,332.5,0.0,0.0,332.5,Recurring
REV100035,CUST1053,SUB10001,2023-12-02,332.5,0.0,0.0,332.5,Recurring
REV100036,CUST1053,SUB10001,2024-01-02,332.5,0.0,0.0,332.5,Recurring
REV100037,CUST1053,SUB10001,2024-02-02,332.5,33.25,0.0,299.25,Recurring
REV100038,CUST1053,SUB10001,2024-03-02,332.5,0.0,0.0,332.5,Recurring
REV100039,CUST1053,SUB10001,2024-04-02,332.5,33.25,0.0,299.25,Recurring
REV100040,CUST1053,SUB10001,2024-05-02,332.5,0.0,0.0,332.5,Recurring
REV100041,CUST1053,SUB10001,2024-06-02,332.5,0.0,0.0,332.5,Recurring
REV100042,CUST1053,SUB10001,2024-07-02,332.5,16.62,0.0,315.88,Recurring
REV100043,CUST1053,SUB10001,2024-08-02,332.5,0.0,0.0,332.5,Recurring
REV100044,CUST1053,SUB10001,2024-09-02,332.5,33.25,0.0,299.25,Recurring
REV100045,CUST1053,SUB10001,2024-10-02,332.5,0.0,0.0,332.5,Recurring
REV100046,CUST1053,SUB10001,2024-11-02,332.5,33.25,0.0,299.25,Recurring
REV100047,CUST1053,SUB10001,2024-12-02,332.5,0.0,0.0,332.5,Recurring
REV100048,CUST1053,SUB10001,2025-01-02,332.5,0.0,0.0,332.5,Recurring
REV100049,CUST1053,SUB10001,2025-02-02,332.5,0.0,0.0,332.5,Recurring
REV100050,CUST1053,SUB10001,2025-03-02,332.5,33.25,0.0,299.25,Recurring
REV100051,CUST1053,SUB10001,2025-04-02,332.5,33.25,0.0,299.25,Recurring
REV100052,CUST1053,SUB10001,2025-05-02,332.5,16.62,0.0,315.88,Recurring
REV100053,CUST1053,SUB10001,2025-06-02,332.5,0.0,0.0,332.5,Recurring
REV100054,CUST1053,SUB10001,2025-07-02,332.5,0.0,0.0,332.5,Recurring
REV100055,CUST1053,SUB10001,2025-08-02,332.5,16.62,0.0,315.88,Recurring
REV100056,CUST1053,SUB10001,2025-09-02,332.5,33.25,0.0,299.25,Recurring
REV100057,CUST1053,SUB10001,2025-10-02,332.5,16.62,0.0,315.88,Recurring
REV100058,CUST1053,SUB10001,2025-11-02,332.5,33.25,0.0,299.25,Recurring
REV100059,CUST1053,SUB10001,2025-12-02,332.5,0.0,0.0,332.5,Recurring
REV100060,CUST1053,SUB10002,2021-09-06,40.83,4.08,0.0,36.75,New
REV100061,CUST1053,SUB10002,2021-10-06,40.83,0.0,0.0,40.83,Recurring
REV100062,CUST1053,SUB10002,2021-11-06,40.83,0.0,0.0,40.83,Recurring
REV100063,CUST1053,SUB10002,2021-12-06,40.83,0.0,0.0,40.83,Recurring
REV100064,CUST1053,SUB10002,2022-01-06,40.83,2.04,0.0,38.79,Recurring
REV100065,CUST1053,SUB10002,2022-02-06,40.83,0.0,0.0,40.83,Recurring
REV100066,CUST1053,SUB10002,2022-03-06,40.83,2.04,0.0,38.79,Recurring
REV100067,CUST1053,SUB10002,2022-04-06,40.83,2.04,0.0,38.79,Recurring
REV100068,CUST1053,SUB10002,2022-05-06,40.83,2.04,0.0,38.79,Recurring
REV100069,CUST1053,SUB10002,2022-06-06,40.83,0.0,0.0,40.83,Recurring
