opportunity_id,customer_id,expected_close_date,deal_value,stage,probability
OPP300001,CUST1005,2023-06-06,4494.67,Qualification,0.25
OPP300002,CUST1045,2025-12-23,60225.41,Prospecting,0.1
OPP300003,CUST1025,2024-11-17,21789.85,Proposal,0.6
OPP300004,CUST1052,2024-05-05,16141.31,Prospecting,0.1
OPP300005,CUST1045,2025-09-21,4219.81,Closed Lost,0.0
OPP300006,CUST1052,2024-01-10,94620.79,Proposal,0.6
OPP300007,CUST1018,2023-09-09,16964.34,Proposal,0.6
OPP300008,CUST1039,2024-06-26,48801.8,Closed Won,1.0
OPP300009,CUST1028,2023-12-30,80029.88,Closed Won,1.0
OPP300010,CUST1019,2025-03-19,55954.8,Negotiation,0.8
OPP300011,CUST1008,2024-04-23,5079.57,Closed Won,1.0
OPP300012,CUST1010,2022-12-20,9672.69,Prospecting,0.1
OPP300013,CUST1059,2022-01-08,3648.44,Qualification,0.25
OPP300014,CUST1033,2024-03-15,1587.05,Prospecting,0.1
OPP300015,CUST1002,2021-08-08,6204.92,Closed Won,1.0
OPP300016,CUST1037,2024-09-26,57880.55,Prospecting,0.1
OPP300017,CUST1022,2025-04-29,13062.26,Closed Lost,0.0
OPP300018,CUST1052,2024-03-11,19140.38,Negotiation,0.8
OPP300019,CUST1007,2024-06-11,14437.13,Proposal,0.6
OPP300020,CUST1006,2025-06-03,11568.92,Needs Analysis,0.4
OPP300021,CUST1028,2023-11-23,14410.04,Prospecting,0.1
OPP300022,CUST1011,2022-08-10,7442.24,Proposal,0.6
OPP300023,CUST1040,2022-07-09,101080.5,Closed Lost,0.0
OPP300024,CUST1038,2025-04-06,1658.24,Needs Analysis,0.4
OPP300025,CUST1030,2024-03-30,1221.37,Closed Won,1.0
OPP300026,CUST1013,2025-02-01,1160.27,Proposal,0.6
OPP300027,CUST1015,2022-12-20,60668.05,Proposal,0.6
OPP300028,CUST1024,2023-02-05,5659.4,Needs Analysis,0.4
OPP300029,CUST1030,2025-03-17,29438.38,Proposal,0.6
OPP300030,CUST1004,2021-07-04,25111.78,Qualification,0.25
OPP300031,CUST1032,2024-07-15,961.25,Qualification,0.25
OPP300032,CUST1043,2022-02-17,20508.66,Closed Lost,0.0
OPP300033,CUST1055,2025-06-10,4487.18,Prospecting,0.1
OPP300034,CUST1022,2023-02-18,1328.62,Prospecting,0.1
OPP300035,CUST1013,2025-11-02,40980.92,Closed Won,1.0
OPP300036,CUST1046,2024-06-15,10431.7,Prospecting,0.1
OPP300037,CUST1005,2025-06-03,81413.77,Negotiation,0.8
OPP300038,CUST1056,2024-05-07,20385.08,Prospecting,0.1
OPP300039,CUST1049,2024-10-14,91507.14,Needs Analysis,0.4
OPP300040,CUST1000,2025-03-18,7182.77,Closed Won,1.0
OPP300041,CUST1047,2025-03-19,41969.3,Qualification,0.25
OPP300042,CUST1019,2021-10-26,1572.91,Proposal,0.6
OPP300043,CUST1018,2023-04-24,20589.53,Qualification,0.25
OPP300044,CUST1046,2024-06-04,2276.89,Needs Analysis,0.4
OPP300045,CUST1007,2024-11-26,7486.77,Needs Analysis,0.4
OPP300046,CUST1000,2024-05-25,14994.5,Needs Analysis,0.4
OPP300047,CUST1002,2025-08-09,49524.09,Qualification,0.25
OPP300048,CUST1024,2025-06-13,21107.53,Prospecting,0.1
OPP300049,CUST1003,2024-09-25,2893.39,Closed Lost,0.0
OPP300050,CUST1058,2024-12-08,59412.5,Needs Analysis,0.4
OPP300051,CUST1022,2022-10-27,61369.5,Qualification,0.25
OPP300052,CUST1055,2025-10-01,1338.92,Needs Analysis,0.4
OPP300053,CUST1003,2024-12-11,1022.76,Needs Analysis,0.4
OPP300054,CUST1006,2024-10-10,20523.2,Qualification,0.25
OPP300055,CUST1047,2024-10-25,124494.29,Proposal,0.6
OPP300056,CUST1030,2025-10-17,1232.97,Closed Won,1.0
OPP300057,CUST1029,2024-09-23,39468.33,Proposal,0.6
OPP300058,CUST1022,2023-02-19,1867.07,Negotiation,0.8
