subscription_id,customer_id,plan_id,start_date,end_date,renewal_date,status,mrr,arr
SUB10001,CUST1053,PLAN114,2021-02-02,,2022-02-02,Active,332.5,3990.0
SUB10002,CUST1053,PLAN102,2021-09-06,2022-09-06,2022-09-06,Churned,40.83,489.96
SUB10003,CUST1053,PLAN113,2022-09-19,2024-09-19,2024-09-19,Churned,399.0,4788.0
SUB10004,CUST1027,PLAN108,2021-02-21,2024-02-21,2024-02-21,Churned,832.5,9990.0
SUB10005,CUST1002,PLAN120,2021-03-28,,2025-03-28,Active,124.17,1490.04
SUB10006,CUST1002,PLAN122,2023-03-28,,2027-03-28,Active,332.5,3990.0
SUB10007,CUST1002,PLAN112,2025-04-13,,2026-04-13,Active,124.17,1490.04
SUB10008,CUST1039,PLAN120,2021-06-25,2021-09-25,2021-09-25,Churned,124.17,1490.04
SUB10009,CUST1026,PLAN114,2021-07-25,,2023-07-25,Active,332.5,3990.0
SUB10010,CUST1026,PLAN103,2022-08-31,,2024-08-31,Active,149.0,1788.0
SUB10011,CUST1026,PLAN118,2023-09-19,,2027-09-19,Active,40.83,489.96
SUB10012,CUST1032,PLAN105,2021-07-27,2023-07-27,2023-07-27,Churned,399.0,4788.0
SUB10013,CUST1032,PLAN117,2023-09-07,,2024-09-07,Active,49.0,588.0
SUB10014,CUST1004,PLAN106,2021-07-26,,2023-07-26,Active,332.5,3990.0
SUB10015,CUST1031,PLAN114,2021-09-13,,2023-09-13,Active,332.5,3990.0
SUB10016,CUST1059,PLAN111,2021-09-29,,2025-09-29,Active,149.0,1788.0
SUB10017,CUST1019,PLAN117,2021-11-20,2022-11-20,2022-11-20,Churned,49.0,588.0
SUB10018,CUST1037,PLAN115,2021-10-23,,2022-04-23,Active,999.0,11988.0
SUB10019,CUST1037,PLAN118,2022-02-04,2025-02-04,2025-02-04,Churned,40.83,489.96
SUB10020,CUST1043,PLAN110,2021-12-04,,2022-06-04,Active,40.83,489.96
SUB10021,CUST1043,PLAN101,2022-03-25,,2025-03-25,Active,49.0,588.0
SUB10022,CUST1012,PLAN110,2022-03-17,,2026-03-17,Active,40.83,489.96
