ticket_id,customer_id,created_date,resolved_date,priority,category,resolution_time
TKT200001,CUST1053,2021-04-12,2021-04-13,Medium,Integration,44.33
TKT200002,CUST1053,2025-10-10,2025-10-10,High,Billing,17.28
TKT200003,CUST1053,2025-10-19,2025-10-20,Medium,Bug Report,33.19
TKT200004,CUST1053,2024-03-15,2024-03-16,Medium,Bug Report,27.4
TKT200005,CUST1053,2024-08-26,2024-08-27,Low,Technical Issue,38.91
TKT200006,CUST1053,2022-09-08,2022-09-08,Critical,Billing,3.7
TKT200007,CUST1053,2023-10-18,2023-10-18,Low,Bug Report,20.76
TKT200008,CUST1053,2023-03-24,2023-03-27,Low,Integration,95.35
TKT200009,CUST1053,2024-11-17,,Medium,Billing,
TKT200010,CUST1053,2022-10-07,2022-10-07,High,Technical Issue,18.2
TKT200011,CUST1053,2024-08-21,,Low,Feature Request,
TKT200012,CUST1053,2023-03-16,,Low,Integration,
TKT200013,CUST1027,2024-11-21,2024-11-21,High,Technical Issue,17.99
TKT200014,CUST1027,2023-11-27,2023-11-28,Medium,Billing,34.76
TKT200015,CUST1027,2023-08-14,2023-08-14,Critical,Billing,7.19
TKT200016,CUST1027,2025-01-21,2025-01-22,Low,Billing,29.37
TKT200017,CUST1027,2021-04-22,2021-04-22,Critical,Feature Request,2.05
TKT200018,CUST1002,2021-04-01,2021-04-01,High,Feature Request,16.17
TKT200019,CUST1002,2022-03-20,2022-03-20,Critical,Integration,6.7
TKT200020,CUST1002,2023-06-24,2023-06-24,Low,Account Access,23.9
TKT200021,CUST1002,2022-09-02,2022-09-02,High,Integration,10.73
TKT200022,CUST1002,2024-09-25,2024-09-28,Low,Feature Request,90.98
TKT200023,CUST1039,2023-09-06,2023-09-06,Medium,Feature Request,22.3
TKT200024,CUST1039,2022-06-13,2022-06-13,High,Account Access,12.23
TKT200025,CUST1039,2025-04-08,2025-04-09,Medium,Account Access,34.62
TKT200026,CUST1039,2025-04-02,2025-04-04,Low,Integration,65.56
TKT200027,CUST1039,2024-02-15,2024-02-17,Low,Account Access,57.1
TKT200028,CUST1039,2022-10-28,2022-10-28,Critical,Feature Request,5.86
TKT200029,CUST1026,2024-05-31,2024-06-03,Low,Integration,83.86
TKT200030,CUST1026,2022-01-28,2022-01-29,Medium,Billing,42.97
TKT200031,CUST1026,2024-07-08,2024-07-08,High,Billing,5.62
TKT200032,CUST1026,2024-01-14,,Medium,Onboarding,
TKT200033,CUST1032,2022-06-12,,Low,Onboarding,
TKT200034,CUST1032,2024-11-11,2024-11-12,Medium,Integration,36.49
TKT200035,CUST1032,2021-08-23,2021-08-24,Medium,Integration,26.16
TKT200036,CUST1032,2022-08-04,,High,Technical Issue,
TKT200037,CUST1004,2023-05-17,2023-05-17,High,Onboarding,6.77
TKT200038,CUST1004,2022-08-01,2022-08-01,High,Feature Request,2.3
TKT200039,CUST1004,2024-04-17,2024-04-18,Low,Account Access,27.45
TKT200040,CUST1004,2025-07-02,,Medium,Technical Issue,
TKT200041,CUST1004,2024-10-31,2024-11-01,Medium,Feature Request,28.5
TKT200042,CUST1004,2021-10-11,2021-10-11,Low,Billing,17.47
TKT200043,CUST1004,2024-12-04,2024-12-04,High,Billing,17.65
TKT200044,CUST1004,2022-04-06,,High,Billing,
TKT200045,CUST1004,2024-08-12,2024-08-13,Low,Integration,44.55
TKT200046,CUST1004,2022-09-19,2022-09-19,High,Billing,1.81
TKT200047,CUST1031,2025-03-13,2025-03-13,High,Onboarding,11.96
TKT200048,CUST1031,2023-02-22,2023-02-22,Medium,Technical Issue,21.02
TKT200049,CUST1031,2025-05-22,2025-05-22,Medium,Account Access,15.0
TKT200050,CUST1031,2024-02-10,2024-02-11,Medium,Feature Request,43.54
TKT200051,CUST1059,2022-11-02,2022-11-04,Low,Onboarding,65.52
TKT200052,CUST1059,2023-01-09,,High,Integration,
TKT200053,CUST1059,2023-04-07,2023-04-09,Low,Bug Report,50.63
TKT200054,CUST1059,2022-11-08,2022-11-08,Critical,Technical Issue,1.44
TKT200055,CUST1019,2024-01-05,2024-01-05,Medium,Onboarding,22.38
TKT200056,CUST1019,2023-11-30,2023-11-30,Medium,Technical Issue,18.86
TKT200057,CUST1019,2025-10-16,2025-10-16,Medium,Bug Report,14.82
TKT200058,CUST1019,2022-10-29,2022-10-29,Critical,Feature Request,5.97
TKT200059,CUST1019,2024-05-01,2024-05-02,Medium,Account Access,37.61
TKT200060,CUST1019,2023-06-16,2023-06-16,Low,Account Access,23.87
TKT200061,CUST1019,2024-04-09,2024-04-12,Low,Bug Report,81.96
TKT200062,CUST1037,2024-01-21,2024-01-22,Low,Technical Issue,30.24
TKT200063,CUST1037,2025-06-10,2025-06-11,Medium,Onboarding,26.77
TKT200064,CUST1037,2021-11-16,2021-11-16,Medium,Feature Request,20.98
TKT200065,CUST1043,2025-09-13,2025-09-13,Medium,Integration,10.86
TKT200066,CUST1043,2022-12-30,2022-12-31,Low,Account Access,38.59
TKT200067,CUST1043,2022-08-14,2022-08-14,High,Integration,12.19
TKT200068,CUST1043,2025-04-27,,Medium,Billing,
TKT200069,CUST1043,2022-04-02,2022-04-02,Low,Billing,12.73
TKT200070,CUST1043,2023-09-29,2023-09-29,High,Technical Issue,8.21
TKT200071,CUST1043,2022-09-24,,Critical,Bug Report,
TKT200072,CUST1043,2023-08-28,2023-08-29,Medium,Account Access,40.44
TKT200073,CUST1012,2023-02-16,2023-02-16,Low,Technical Issue,20.53
TKT200074,CUST1012,2023-01-23,2023-01-24,Medium,Technical Issue,27.42
TKT200075,CUST1012,2025-04-18,2025-04-19,Medium,Account Access,24.66
TKT200076,CUST1012,2023-07-18,2023-07-18,Critical,Onboarding,5.48
TKT200077,CUST1012,2022-09-09,2022-09-09,High,Onboarding,4.12
